hecho_sancionado,instrumento_legal_inflingido,losma_35,gravedad_falta,inversion,tipologia,vias_de_ingreso,tamaño_unidad
"La obtención, con fechas 25 y 26 de enero de 2020, de Niveles de Presión Sonora Corregidos (NPC) de 61 dB(A); y de 65 dB(A) y 50 dB(A) respectivamente, todas las mediciones efectuadas en horario nocturno, en condición externa, en receptores sensibles ubicados en Zona II.",NE,h,Leves,,,,
No realizar estudio de olores correspondiente al año 2015.,RCA,a,Leves,104.5,O,DIA,73.14999999999999
"No dar cumplimiento a las normas de cierre, vigilancia y control en el Relleno Sanitario de Villa Cerro Castillo, al constatarse que el cerco perimetral del recinto se encuentra en regular estado, que permite el acceso peatonal, y que al momento de la fiscalización no había personal de vigilancia en el recinto.",RCA,a,Leves,0.02,O,EIA,0.013999999999999999
"No reportar todos los parámetros de su programa de monitoreo: El establecimiento industrial no reportó todos los parámetros exigidos según su programa de monitoreo establecido en la Res. Ex. SISS Nº 1476/07, de fecha 28 de mayo de 2007, específicamente los parámetros señalados en la Tabla N° 4 del Anexo de la presente Resolución, correspondiente a su Programa de Monitoreo mensual asociado al D.S. N° 90/2000, en los periodos de septiembre y noviembre de 2018; y enero a junio y septiembre de 2019.",NE,g,Leves,0.0005,O,DIA,0.00035
"No efectuar el reemplazo de la antorcha L-1360, de acuerdo con lo comprometido en la RCA N° 65/2004.",RCA,a,Graves,33.4343,K,DIA,23.40401
Implementar 1 (un) pedraplén de los 5 (cinco) comprometidos durante la evaluación ambiental del proyecto.,RCA,a,Graves,6.424,E,EIA,4.4968
Superar los límites máximos permitidos para los parámetros de su programa de monitoreo.,NE,g,Leves,,,,
"No reportar todos los parámetros de su Programa de Monitoreo: el establecimiento industrial no reportó en los reportes de autocontrol de su Programa de Monitoreo el parámetro pH, durante septiembre de 2017, conforme a lo exigido en la Resolución N° 290 de la Directemar, de fecha 11 de febrero de 2008.",NE,g,Leves,,,,
"La obtención, con fecha 1 de octubre de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 60 dB(A), medición efectuada en horario nocturno, en condición interna con ventana cerrada y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"Comercialización de leña con contenido de humedad sobre el 25% (leña húmeda), con fecha 26 de mayo de 2021.",PPDA,c,Leves,,,,
Emplazamiento de estructuras asociadas a la explotación del centro de cultivo de salmónidos fuera del área de concesión acuícola.,RCA,a,Leves,2.0,N,DIA,1.4
"No contar con el acuerdo de CONAF, en relación con las especificaciones para la plantación y el respectivo manejo de Palma Chilena (Jubaea chilensis Baillon)",RCA,a,Graves,750.0,I,EIA,525.0
5 taludes del alvéolo N°1 no cumplen con la inclinación evaluada ambientalmente.,RCA,a,Leves,18.0,O,EIA,12.6
Titular no respondió íntegramente requerimiento de información en los términos requeridos en la Res. Ex. N° 15/2017,Requerimientos de Información,j,Leves,11.2,Ñ,DIA,7.839999999999999
"El establecimiento industrial presentó superación en los niveles máximos permitidos de ciertos contaminantes establecidos en la norma de emisión antes citada, en el período controlado durante el mes de Abril, Mayo y Septiembre del año 2014 y Marzo del año 2015, tal como se presenta en la Tabla N° 2 de esta resolución.",RCA,a,Leves,10.0,O,EIA,7.0
"No entregar información solicitada por la SMA, producto de la contingencia ambiental ocurrida entre el 12 y 14 de agosto de 2015, respecto a datos actualizados de la calidad de aguas en el estero Piuquenes, aguas abajo del afloramiento antes de confluencia con río Pelambres",Requerimientos de Información,j,Leves,750.0,I,EIA,525.0
Lodos secos generados por la PTAS Llico son utilizados en actividades de jardinería en la PTAS y áreas verdes de la comuna.,RCA,a,Graves,0.44,O,DIA,0.308
"La obtención, con fecha 24 de junio de 2015, de un nivel de presión sonora corregido de 55 dBA, en horario diurno, medido desde un receptor ubicado en una Zona Rural, cuyo nivel de ruido de fondo es de 32 dBA.",NE,h,Leves,,,,
12.1.2 La pantallla vegetal no cubre la cancha de acopio de carbón en su totalidad. Además hay secciones que no cuentan con malla raschel y otras en donde ésta no se ha instalado.,RCA,a,Leves,220.0,C,EIA,154.0
"F1. Deficiencias en el sistema de captación y/o conducción de biogas a la antorca correspondiente. Especificamente se constato en multiple puntos del sector oeste de la etapa 2 del Relleno Sanitario, la emisión de burbujas de biogas a la atmosfera.",RCA,a,,0.52,T,DIA,0.364
"Operación de un plantel de cerdos con capacidad aproximada de 7.800 animales porcinos, sin contar con Resolución de Calificación Ambiental Favorable, con las siguientes características: -15 pabellones de los cuales 7 de ellos corresponden a instalaciones nuevas, actualmente utilizadas, efectuadas después del año 2007. - De total de 7.800 animales, aproximadamente 4.883 porcinos poseen un peso mayor a 25 Kg, (11 abuelas, 4.145 en engorda, 717 hembras y 11 machos). - Con la construcción de un Sistema de Tratamiento de Residuos Industriales líquidos, sin contar con Resolución de Calificación Ambiental Favorable.",Elusión,b,Graves,,,,
"Modificación de la Planta de tratamiento de Residuos Industriales Líquidos, sin contar con resolución de calificación ambiental que la autorice, consistente en: (i)	Construcción y operación de una línea de tratamiento de RILes nueva; (ii)	Sistema de descarga de efluentes de la Planta para riego;",RCA,b,Graves,0.092,O,DIA,0.0644
Presencia de 5 redes peceras sucias depositadas sobre el fondo del borde costero aledaño a la concesión.,RCA,a,Graves,0.9,N,DIA,0.63
"Superar la producción máxima autorizada en el CES MUÑOZ GAMERO 2 (RNA 120195), durante el ciclo productivo ocurrido entre el 22 de mayo de 2019 al 18 de octubre de 2020.",RCA,a,Graves,2.0,N,DIA,1.4
"Operación de instalación industrial con una potencia instalada mayor a 2.000 KVA, sin contar con Resolución de Calificación Ambiental previa que lo autorice, desde enero del año 2014.",Elusión,b,Graves,,,,
"La obtención, con fecha 11 de mayo de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 61 dB(A), medición efectuada en horario nocturno, en condición interna, con ventana abierta y en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"Mal manejo en el control de ingreso de residuos al Relleno Sanitario, toda vez que: a)	No se encontraba operativa la báscula de pesaje de camiones. b)	No contaba con un registro exacto de ingreso de residuos al Relleno Sanitario, en los términos estipulados por la Resolución de Calificación Ambiental. c)	No se lleva un registro computarizado de todas las empresas depositantes en el relleno.",RCA,a,Leves,0.0,H,DIA,0.0
"El establecimiento industrial excedió el límite de volumen de descarga exigido en su Programa de Monitoreo (Res. Ex. SISS N°2737, de fecha 17 de agosto del año 2006) en los meses de junio, julio, agosto, noviembre y diciembre de 2018; marzo, abril, mayo, junio, julio, noviembre y diciembre de 2019; enero, febrero, marzo, abril, mayo, junio, julio, agosto, septiembre, noviembre y diciembre de 2020; según se detalla en la Tabla N° 1.5 del Anexo N°1 de la presente Resolución.",NE,g,Leves,,,,
"CMNSpA, ha incumplido sus compromisos asociados al Plan de Monitoreo Social.",RCA,a,Graves,950.0,I,EIA,665.0
"No contar con el permiso ambiental sectorial correspondiente al artículo 93 del Decreto Supremo W95, de 2001, que dispone el Reglamento del Sistema de Evaluación de Impacto Ambiental.",RCA,a,Leves,3.5,N,DIA,2.4499999999999997
"24.4.1. El proyecto minero se encontraba en ejecución sin contar con personal de vigilancia acreditado, protocolo de actividades, ruta de patrullaje y plan de monitoreo sobre la caracterización del borde costero, especialmente para la observación de chungungos.",RCA,a,Leves,6.0,I,DIA,4.199999999999999
"La obtención, con fecha 6 de noviembre de 2023, de un Nivel de Presión Sonora Corregido (NPC) de 66 dB(A); la obtención con fecha 15 de noviembre de 2023, de un NPC de 64 dB(A); y, la obtención, con fecha 29 de febrero de 2024, de un NPC de 65 dB(A), la primera medición efectuada en horario diurno, y las siguientes en horario nocturno, todas las mediciones realizadas en condiciones externas y en un receptor sensible ubicado en Zona Rural.",NE,h,Leves,,,,
"No se cuenta con a lo menos dos vigilantes municipales que cumplan funciones de resguardo del Humedal, a la fecha de la inspección ambiental.",RCA,a,Leves,0.0273,P,DIA,0.01911
No implementación de las medidas de seguimiento consistentes en: a.	Realizar monitoreo bimensual en pozos de muestreo de aguas subterráneas b.	Caracterización química de compósito mensual de ripios agotados.,RCA,a,Graves,0.0003,O,DIA,0.00020999999999999998
"La obtención, con fecha 26 de abril de 2021, de un Nivel de Presión Sonora Corregidos (NPC) de 70 dB(A), medición efectuada en horario diurno, en condición externa, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"No realización de actividades de seguimiento en relación al emisario submarino, lo que se constata en los siguientes hechos: - No realización de medición de espesor mediante ultrasonido en el tramo terrestre del emisario submarino en los años 2014, 2015 y 2016. - No realización de control de potenciales del sistema protección catódica en ningún trimestre del año 2014. - Realización de inspección submarina bianual en una sola oportunidad en el año 2014.",RCA,a,Leves,300.0,Ñ,EIA,210.0
"Haber superado el valor de concentración máxima de emisión de MP en el informe isocinético de fecha 17 de mayo de 2019, respecto de la caldera a leña, con registro OSO-315 AC.",PPDA,c,Leves,,,,
No construye muro de conducción ni sistema de captación de aguas lluvia en el área del botadero de estériles.,RCA,a,Leves,90.26,I,EIA,63.182
"Operar un sistema de tratamiento de Riles distinto del autorizado, por medio de las siguientes instalaciones y procesos: a) Laguna facultativa de 50.000 m3. b) Acumulación de Riles post-tratamiento en una laguna no autorizada para ello.",RCA,a,Graves,7.26,L,DIA,5.082
"Traslado de aves muertas desde los galpones hasta el foso de digestión directamente sobre la plataforma de carga del vehículo de transporte, sin realizarse en contenedores cerrados.",RCA,a,Leves,1.5,L,DIA,1.0499999999999998
"C.1 No entrega de formularios E-300 “Estadística de Producción de Minería y Metalurgia” correspondientes a los meses de agosto y febrero de 2011; no entrega de la cantidad total diaria de viajes realizados por los camiones desde tambor de aglomerador (proveniente de silo 1 y silo 2) al carguío de la pila, para el periodo enero -diciembre de 2015; y no entrega de los registros de mantención de la campana de extracción de gases de la sala de análisis vía húmeda.",Requerimientos de Información,j,Leves,8.0,I,DIA,5.6
I2. No se acredita la obtención del PAS 106,RCA,a,Leves,250.0,I,EIA,175.0
"Falta de construcción e implementación del segundo pozo de sondaje de pequeño diámetro, cuyo objeto es la extracción de muestras de agua subterránea.",RCA,a,Graves,3.2,O,EIA,2.2399999999999998
"Omisión de informar oportunamente e implementar medidas necesarias para hacerse cargo de los impactos ambientales no previstos, considerando la proliferación de colonias de microorganismos mucilaginosos en sectores de canal de descarga, punto de descarga y aguas debajo de la descarga del efluente de la Piscicultura Curacalco",RCA,a,Leves,0.35,N,DIA,0.24499999999999997
"El sistema de conducción de relaves, consistente en dos tuberías de conducción que van desde la planta de beneficio hasta el Tranque de Relaves III, no está dispuesto sobre un canal impermeabilizado.",RCA,a,Graves,6.0,I,DIA,4.199999999999999
No se ha completado el catastro de fuentes estacionarias en el Sistema de Seguimiento Atmosférico (SISAT) de la Superintendencia del Medio Ambiente.,Otro,e,Leves,,,,
"SUPERAR LOS LÍMITES MÁXIMOS PERMITIDOS PARA LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial presentó superación del límite máximo permitido por la Tabla N° 1 del artículo 1 numeral 4.2 del D.S. N° 90/2000, para los parámetros y períodos que a continuación se indican, y que se detallan en la Tabla N° 1.2 del Anexo I de esta Resolución; no configurándose los supuestos señalados en el numeral 6.4.2 del D.S. N° 90/2000: a) Poder Espumógeno: en mayo del año 2021, b) Sólidos Suspendidos Totales: en mayo del año 2021 y junio del año 2022. c) pH: en junio del año 2022.",NE,g,Leves,,,,
"Implementación de nuevas unidades operativas (reja mecánica y estática; by pass; dos estanques desengrasadores; bafles deflectores) y descarga no autorizada al estero El Clavito, sin contar con RCA que lo autorice a ello.",Elusión,b,Graves,0.75,O,DIA,0.5249999999999999
"El complejo de producción de papel utiliza la piscina de emergencia (antigua piscina de decantación), para fines distintos a los autorizados, en particular para la derivación de RILES con alto contenido de Sólidos Suspendidos Totales, reduciendo la capacidad de contener RILES ante alguna situación de contingencia o de emergencia.",RCA,a,Graves,0.2,O,DIA,0.13999999999999999
"Haber superado el límite máximo de emisión de MP respecto de las fuentes estacionarias tipo proceso, denominadas cabina de pintura N°3 - PR-16299 (ducto de proceso) y la cabina de lijado PR-5859.",PPDA,c,Leves,,,,
Luminarias que forman parte de alumbrado de exteriores del proyecto Sistema de Transmisión 220/100 kV Copayapu-Galleguillos no cuentan con certificación de cumplimiento de los límites de emisión.,NE,h,Leves,55.0,B,EIA,38.5
"Falta de entrega de información relativa al Permiso Ambiental Sectorial del Artículo 93 del D.S. N° 95/01 del Ministerio Secretaría General de la Presidencia, Reglamento del Sistema de Evaluación de Impacto Ambiental, siendo requerido a ello por personal de la SMA durante la inspección ambiental de fecha 27 de febrero de 2014.",RCA,a,Leves,3.2,O,EIA,2.2399999999999998
"Modificaciones de consideración al proyecto sin evaluación ambiental, en relación a: -	Construcción de pilas de lixiviación de dimensiones mayores a lo autorizado, y de tres pilas de lixiviación, así como de dos piscinas para el almacenamiento de soluciones que no han sido evaluadas ambientalmente, utilizando aproximadamente 5,9 hectáreas adicionales a lo autorizado. -	Existencia de dos etapas de extracción y de una etapa de re extracción no autorizada en la Planta SX. -	Altura del muro de tranque de relaves N° 6 excede en aproximadamente 2,5 metros el máximo autorizado, y su revancha es menor a 2 metros, que es lo mínimo autorizado. -	Botadero de ripios N° 1 acumula aproximadamente 1.341.179 toneladas más de lo autorizado ambientalmente.",Elusión,b,Graves,1.0,I,DIA,0.7
"G. No se acredita la obtención de los permisos ambientales sectoriales correspondientes a los articulos 94, 101, 102 ..",RCA,a,Leves,3.0,N,DIA,2.0999999999999996
Omisión de elaboración e implementación de plan de monitoreo de emisiones de incinerador.,NE,h,Leves,3.5,L,DIA,2.4499999999999997
"NO REPORTAR LA FRECUENCIA DE MONITOREO EXIGIDA EN SU PROGRAMA DE MONITOREO: El establecimiento industrial no reportó en el mes de diciembre de 2019, la frecuencia de monitoreo exigida en su Programa de Monitoreo asociado al D.S. N° 90/2000 (Resolución Exenta N° 53, de fecha 15 de enero del año 2019, de la SMA), para el parámetro Coliformes fecales o termotolerantes, señalado en la Tabla N° 1.1 del Anexo N° 1 de la presente Resolución.",NE,g,Leves,,,,
"No ejecutar las medidas de gestión para el suelo extraído en sector de S/E Copayapu, en cuanto: a.- Se mantiene un acopio de suelo vegetal sin geotextil ni señalética. b.- No se ha restituido el suelo excavado, de manera uniforme y compacta, manteniéndolo en un acopio. c.- Mantener residuos industriales no peligrosos en conjunto con el acopio de suelo extraído.",RCA,a,Leves,55.0,B,EIA,38.5
"La obtención de un nivel de presión sonora corregido en medición interior con ventana abierta en horario nocturno de 57 dB(A), para una Zona III.",NE,h,Leves,,,,
"El establecimiento industrial no reportó la frecuencia de monitoreo exigida en su Programa de Monitoreo (Resolución Exenta SMA N° 525, de fecha 17 de abril de 2019), para parámetros y períodos que a continuación se indican, y que se detallan en la Tabla N° 1.1. del Anexo 1 de la presente Resolución: •	Caudal: diciembre (2020) •	Cloro libre residual: diciembre (2020); febrero (2021) •	Temperatura: diciembre (2020) • pH: diciembre (2020)",NE,g,Leves,,,,
"El establecimiento industrial no reportó la frecuencia de monitoreo exigida sus Programas de Monitoreo (Res. Ex. SISS N°600, de fecha 10 de febrero del año 2012 y Res. Ex. SISS N°1349, de fecha 29 de octubre del año 2018), asociado al D.S. N°90/2000, para los parámetros y períodos que a continuación se indican y que se detalla en la Tabla N°1.2 del anexo Nº1 de la presente Resolución: a)	Caudal: en los meses de junio, julio, agosto, septiembre y octubre del año 2018. b)	Coliformes fecales o termotolerantes: en los meses de junio, julio, agosto, septiembre y octubre del año 2018. c)	pH: en los meses de junio, julio, agosto, septiembre, octubre, noviembre, diciembre del año 2018; enero, febrero, marzo, abril, mayo, junio, agosto, septiembre, octubre, noviembre, diciembre del año 2019; enero, febrero, marzo, abril del año 2020. d)	Temperatura: en los meses de junio, julio, agosto, septiembre, octubre, noviembre, diciembre del año 2018; enero, febrero, marzo, abril, mayo, junio, julio, agosto, septiembre, octubre, noviembre, diciembre del año 2019; enero, febrero, marzo, abril del año 2020.",NE,g,Leves,,,,
"La obtención, con fecha 29 de abril de 2019, de un Nivel de Presión Sonora Corregido (NPC) de 58 dB(A), medición efectuada en horario nocturno, en condición interna, con ventana abierta, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
A1. Omisión de contar con un sitio de almacenamiento temporal para RESPEL . ..,RCA,a,Leves,0.75,N,DIA,0.5249999999999999
Construcción y operación de una instalación de faenas en la comuna de Los Vilos no descrita en la evaluación ambiental del Proyecto,RCA,a,Graves,1000.0,B,EIA,700.0
"No se realiza seguimiento del cuerpo de agua receptor conforme fue evaluado, lo que se evidencia en que: a)	No se realiza el Plan de Vigilancia en los periodos del primer y segundo semestre del año 2014, y primer semestre del año 2015 y 2016. b)	No se realiza el monitoreo anual de test de toxicidad en los periodos anuales 2013 y 2014. c)	Los informes de monitoreo Plan de Vigilancia y test de toxicidad no dan cuenta de que la toma de muestras se haya realizado sincronizadamente con la aplicación de productos ictiosanitarios.",RCA,a,Leves,5.0,N,DIA,3.5
"SUPERAR LOS LÍMITES MÁXIMOS PERMITIDOS PARA LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial presentó superación del límite máximo permitido por la Tabla N° 2 del artículo 1 numeral 4.2 del D.S. N° 90/2000, para los parámetros y en los periodos que a continuación se indican, no configurándose los supuestos señalados en el numeral 6.4.2 del D.S. N° 90/2000.: a) Aceites y Grasas: mayo y octubre del 2018; enero, febrero, mayo, junio, septiembre, noviembre y diciembre del 2020. b) Cloruros: julio de 2019. c) Coliformes Fecales o Termotolerantes: en mayo del 2018 y 2020; y, en junio del 2019. d) DBO5: en abril, junio, agosto, septiembre, octubre, noviembre, y diciembre del 2018; enero, a diciembre del 2019; y, en enero, febrero, abril, mayo, junio, agosto, septiembre, octubre, noviembre, diciembre del 2020. e) Fósforo: en noviembre del 2019; y, en marzo, abril, junio, noviembre y diciembre del 2020. f) Nitrógeno Total Kjeldahl: en abril, mayo y noviembre del 2019; y, en enero y marzo del 2020. g) pH: En mayo del 2018 y 2020; y, en noviembre del 2019. h) Poder Espumógeno: en febrero del 2020. i) Sólidos Suspendidos Totales: en abril, agosto, octubre, noviembre y diciembre (2018); en enero, febrero, marzo, abril, mayo, junio, octubre, noviembre, diciembre del 2019; y, en enero, febrero, junio y septiembre 2020",NE,g,Leves,,,,
"Falta de envío de los siguientes monitoreos a través del Sistema de Seguimiento Ambiental: a) Muestreos de la PTAS durante perforación pozos Manekenk 2, Yagan 5 y Yagan 3. b) Informe con los resultados del primer monitoreo de cobertura vegetacional (parcial) realizado al trazado del ducto comprendido entre el pozo Yagán Norte 5 y punto de empalme con línea de flujo proveniente del pozo Yagán X-1. c) Informe de las cementaciones aisladoras y perfil estratigráfico correspondiente a la perforación del pozo Manekenk 2. d) Informe de Monitoreo de Cubierta Vegetal asociado a la construcción de la línea de flujo del pozo Konawentru 9.  e) Primer monitoreo de cobertura vegetacional (parcial) realizado al trazado del ducto comprendido entre el pozo Konawentru 7 y el punto de empalme con la línea de flujo proveniente del pozo Konawentru A-4. f) informe con los resultados del segundo monitoreo de cobertura vegetacional (final) realizado al trazado del ducto comprendido entre el pozo Konawentru X-1 y la Batería Pampa Larga.",RSMA,e,Leves,73.0,I,DIA,51.099999999999994
"NO REPORTAR LA FRECUENCIA DE MONITOREO EXIGIDA EN SU PROGRAMA DE MONITOREO: El establecimiento industrial no reportó la frecuencia de monitoreo exigida en la Resolución Exenta N° 208, de fecha 18 de enero del año 2007, de la SISS, para el parámetro pH en los meses de mayo, junio y julio del año 2020 y en el mes de diciembre del año 2021, conforme a lo señalado en la Tabla N° 1.3 del Anexo N° 1 de la presente Resolución, correspondiente a su Programa de Monitoreo mensual asociado al D.S. N° 90/2000.",NE,g,Leves,,,,
"El establecimiento industrial no reportó la frecuencia de monitoreo exigida en su Programa de Monitoreo mensual asociado al D.S. N°90/2000 (Resolución Exenta N° 1807/2010 SISS), en los meses de marzo a diciembre de 2019, en marzo de 2020 y en noviembre de 2021, conforme se detalla en la Tabla N° 1 del Anexo de la presente Resolución.",NE,g,Leves,33.4343,K,DIA,23.40401
"El establecimiento industrial presentó superación en los niveles máximos permitidos de ciertos contaminantes establecidos en la norma de emisión antes citada, durante los meses de Mayo, Junio, Julio Noviembre y Diciembre del año 2013 y Marzo, Abril, Mayo y Agosto del año 2014, tal como se presenta en la Tabla N°4 de esta resolución.",RCA,a,Leves,0.36,O,DIA,0.252
"Inicio de obras en el MH y ZT sin haber tramitado previamente los PAS sectoriales correspondientes a los artículos 75, 76, 77 del D.S. N°95/2001 MINSEGPRES (actuales 131, 132 y 133 del D.S. N°40/2012 MMA) según se constató, por un lado, en las inspecciones de 6 de abril y 19 de julio, ambas de 2017, y por otro, en los informes cargados por la empresa al sistema de seguimiento SMA.",RCA,a,Leves,3.639,P,DIA,2.5473
"La empresa no da cumplimiento a las medidas de extracción de áridos dispuestas en la RCA 326/2006, lo que se manifiesta en: -No utilizar el método extractivo de terraza. -Falta de obras y canalizaciones que contempla el manejo de aguas lluvias. - Inexistencia de medidas para evitar el arrastre de sedimentos al mar. -Construcción y operación de plataformas con escarpe y de estacionamientos. -Realización de intervenciones en la zona de playa.",RCA,a,Graves,0.475,I,DIA,0.33249999999999996
"No efectuar satisfactoriamente la reforestación comprometida como medida de compensación asociada a la afectación de 1.895 Ha de bosque nativo de tipo forestal Roble- Raulí-Coihue, provocada por la construcción y operación de las partes y obras de la Central Hidroeléctrica Ralco.",RCA,a,Graves,470.0,C,EIA,329.0
"Manejo inadecuado del sistema de tratamiento de biogás, lo que se expresa en: •	No acredita la habilitación de chimeneas de venteo, conforme a las especificaciones de la RCA N° 453/2009. •	Presencia de plásticos y otros residuos al interior de las chimeneas, conforme a lo constatado en inspección de 4 de julio de 2018.",RCA,a,Graves,0.9594,,,0.67158
No dar aviso a la Superintendencia del Medio Ambiente de las al menos 11 roturas que ha sufrido la tubería de aducción Carilafquén desde noviembre de 2015 a la fecha de emisión de la presente resolución.,RCA,a,Graves,28.0,C,DIA,19.599999999999998
"Utilización de las aguas tratadas en su planta de tratamiento sin verificar el cumplimiento de la NCh N° 1.333, durante el periodo correspondiente a los años 2013 y 2016, ambos inclusive.",RCA,a,Leves,15.0,Ñ,DIA,10.5
No informar los remuestreos que correspondía efectuar los meses de junio y agosto de 2015.,RCA,a,Leves,1.0,O,DIA,0.7
Omisión de elaboración y apoyo respecto a programas de reforestación de especies arbóreas utilizadas por los campesinos para energía y otros usos agrícolas.,RCA,a,Leves,3.2,O,EIA,2.2399999999999998
"Manejo deficiente de residuos sólidos en el relleno sanitario puesto que no se efectuó la cobertura y compactación de los residuos domiciliarios y asimilables, observándose presencia de vectores sanitarios; y no se implementó malla móvil para la captura de la fracción de residuos livianos.",RCA,a,Graves,3.1636,O,DIA,2.21452
A1. La inexistencia de ciclones al interior de la bodega,RCA,a,Leves,10.0,Ñ,DIA,7.0
"Se constató la existencia de derrame de residuos líquidos orgánicos, en el piso de la zona de lavado de camiones, no habiendo derivado dichos residuos, al sistema de tratamiento de riles, mediante una bomba.",RCA,a,Leves,,,,
.,RCA,a,Leves,2.0,N,DIA,1.4
"SUPERAR LOS LÍMITES MÁXIMOS PERMITIDOS PARA LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial presentó superación del límite máximo permitido por la Tabla N° 2 del artículo 1 numeral 4.2 del D.S. N° 90/2000 para los parámetros que a continuación se indican durante los períodos que a continuación se señalan y que se detallan en indica la Tabla N° 4 del Anexo de esta Resolución; no configurándose los supuestos señalados en el numeral 6.4.2 del D.S. N° 90/2000: - DBO5: en el mes de diciembre de 2017; los meses marzo, abril, mayo, junio, julio, agosto, septiembre, noviembre, diciembre del año 2018; y en los meses de febrero, marzo, noviembre del año 2019. - Nitrógeno Total Kjeldahl: en los meses de diciembre del año 2017; en los meses de mayo y septiembre de 2018.",NE,g,Leves,,,,
"La ejecución de trabajos de tronadura en períodos reproductivos de fauna, en el Km 180,020 de la Ruta 11 CH, con fecha 5 de enero de 2017.",RCA,a,Graves,17.1111,P,DIA,11.97777
No haber construido las instalaciones de la Planta de recuperación y revalorización.,RCA,a,Graves,11.46,O,EIA,8.022
"La obtención, con fecha 16 de enero de 2019, de Nivel de Presión Sonora Corregido (NPC) de 75 dB(A), medición efectuada en horario diurno, en condición externa, en un receptor sensible ubicado en Zona II; la obtención, con fecha 8 de marzo de 2019, de NPC de 65 dB(A), 77 dB(A) y 71 dB(A), mediciones efectuadas en horario diruno, en condición externa, en receptores sensibles ubicados en Zonas II y III; la obtención, con fecha 11 de marzo de 2019, de NPC de 73 dB(A), 68 dB(A) y 74 dB(A), mediciones efectuadas en horario diurno, en condición externa, en receptores sensibles ubicados en Zonas II y III; y la obtención, con fecha 12 de marzo de 2019, de NPC de 62 dB(A), 64 dB(A) y 66 dB(A), mediciones efectuadas en horario diurno, en condición externa, en receptores sensibles ubicados en Zonas II y III.",NE,h,Leves,,,,
"Disponer lodos dentro de la planta con una humedad superior al 75%, sin contar con RCA que lo autorice",Elusión,b,Graves,1.045,O,DIA,0.7314999999999999
